GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
8600000US11222,11222,ZCTA5 11222,16689,317,6591,363,5170,349,10098,404,7.3,1.4,4.5,1.7,2.6,1.6,9.5,1.9,4.0,1.1,2.9,1.1,2.8,1.3,4.7,1.5,7.8,1.4,6.4,2.1,4.9,2.4,8.9,1.8,6.6,1.3,7.7,2.0,5.6,2.0,5.9,1.7,9.1,1.2,6.6,1.5,5.3,1.8,11.0,1.8,16.5,1.6,15.9,2.6,15.5,3.2,16.6,2.1,15.7,1.8,16.0,2.6,17.3,3.2,15.8,2.3,18.9,1.9,22.6,2.9,26.1,3.6,15.9,2.2,6.7,1.2,8.4,2.1,10.3,2.7,5.4,1.3,7.4,1.2,8.9,2.1,9.5,2.4,6.2,1.5,72409,3681,82037,5063,(X),(X),64333,3576,87421,3644,97599,5610,N,N,79370,5525,38.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),39.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),37.0,(X)
8600000US11223,11223,ZCTA5 11223,27532,441,19486,611,14077,528,8046,563,11.2,1.2,5.0,1.1,2.4,0.6,26.6,3.3,6.8,1.1,5.4,1.1,5.4,1.2,10.9,2.4,13.4,1.2,13.1,1.5,13.0,2.0,15.6,2.0,10.6,1.3,10.7,1.6,11.0,1.7,9.8,1.9,12.8,1.4,13.8,1.5,12.2,1.9,10.9,2.0,16.4,1.5,18.3,1.8,17.1,1.8,12.7,2.3,11.0,1.2,12.2,1.4,13.1,1.6,6.8,2.2,10.1,1.0,12.3,1.2,14.1,1.5,4.2,1.1,3.9,0.7,4.4,0.8,5.5,1.0,1.4,0.9,3.8,0.6,4.8,0.9,6.3,1.2,1.1,0.8,43019,2276,52407,2685,57391,4460,22477,2308,64964,2603,74446,3743,83471,5014,38289,3308,41.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),42.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),36.2,(X)
8600000US11224,11224,ZCTA5 11224,18064,380,10771,514,6048,480,7293,436,20.9,2.1,9.7,2.0,2.6,1.1,38.5,4.1,11.4,1.6,10.3,2.2,10.7,2.9,13.7,2.9,15.0,1.9,13.5,2.4,13.2,3.3,16.1,3.3,7.9,1.2,9.8,1.7,8.7,2.5,5.7,1.7,11.7,1.7,12.6,2.3,12.1,3.3,10.3,2.5,14.0,1.8,16.3,2.4,17.3,2.8,9.9,3.0,7.4,1.3,9.8,2.0,11.8,3.1,3.3,1.5,6.1,1.4,9.5,2.2,12.7,3.4,1.5,0.9,3.4,0.9,5.3,1.5,6.6,2.2,0.4,0.4,2.3,0.9,3.2,1.2,4.3,1.8,0.7,0.6,28006,4093,42289,3713,(X),(X),14118,1720,50455,5400,64092,7338,N,N,29003,5020,37.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),41.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.5,(X)
8600000US11225,11225,ZCTA5 11225,23133,405,13312,527,6088,500,9821,568,9.0,1.4,4.8,1.2,1.7,0.8,14.8,2.8,6.0,1.0,4.3,1.1,2.4,1.4,8.4,2.1,12.7,1.9,12.3,2.4,7.8,2.4,14.7,2.7,11.5,1.6,10.8,1.9,8.5,2.4,13.1,2.4,14.8,1.9,15.0,2.4,13.7,3.1,14.7,3.0,19.0,1.8,20.7,2.5,20.6,3.8,15.7,2.5,12.0,1.8,14.1,2.2,18.1,3.8,9.7,2.0,9.3,1.3,10.6,1.9,15.3,3.3,6.2,1.4,2.2,0.6,2.9,0.9,4.8,1.7,1.4,1.0,3.4,0.9,4.5,1.4,7.2,2.3,1.3,0.7,44911,3112,52779,4263,71344,6178,34017,3671,62860,3579,72638,5095,90235,8446,46892,3869,39.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),45.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.4,(X)
8600000US11226,11226,ZCTA5 11226,36009,460,22642,576,9691,535,13367,544,10.0,1.1,6.7,1.1,2.5,1.0,17.1,2.1,6.3,0.9,5.0,1.1,3.0,1.1,9.1,1.8,11.9,1.0,11.2,1.4,9.4,1.9,14.1,2.2,12.1,1.4,12.8,1.6,8.7,2.1,11.5,2.0,14.9,1.4,14.9,1.6,14.4,2.7,15.0,2.4,19.5,1.5,20.4,1.8,20.8,2.8,17.0,2.5,10.1,1.2,11.1,1.6,13.4,2.4,7.8,1.5,9.7,1.0,11.6,1.5,18.1,2.7,5.3,1.3,3.3,0.7,3.8,1.0,5.7,1.7,1.8,0.9,2.2,0.4,2.4,0.6,4.1,1.1,1.3,0.8,43399,2527,49261,2419,63915,3978,32604,2910,58646,1989,64060,2845,82295,5582,45616,3505,44.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),49.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),33.1,(X)
8600000US11228,11228,ZCTA5 11228,15285,318,11285,348,8769,338,4000,284,4.9,0.8,2.3,0.7,1.3,0.5,13.8,2.8,4.5,0.8,2.9,0.9,2.5,1.0,9.3,2.3,11.1,1.4,10.1,1.6,9.5,1.7,14.5,2.6,7.5,1.1,6.8,1.2,6.1,1.3,9.2,2.4,10.5,1.5,9.8,1.8,9.9,2.1,13.1,2.6,17.3,1.5,17.7,1.7,16.8,2.0,16.3,3.1,12.5,1.5,13.2,1.7,12.8,2.0,11.0,2.8,16.6,1.6,18.6,1.8,19.3,2.0,9.5,2.5,7.3,1.2,8.8,1.5,10.4,1.8,2.1,1.1,7.7,1.0,9.7,1.3,11.3,1.7,1.4,0.7,64250,3588,75792,4487,(X),(X),37826,4012,87560,3073,98430,3781,N,N,51614,3523,42.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),44.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),35.4,(X)
8600000US11229,11229,ZCTA5 11229,30764,526,21039,541,15884,548,9725,497,9.6,1.1,4.8,1.0,2.3,0.7,20.6,2.3,6.7,0.9,5.1,0.8,5.4,0.9,10.4,2.4,11.5,1.3,10.3,1.6,8.6,1.5,14.3,2.2,7.8,0.8,7.7,1.1,7.9,1.3,8.9,1.4,12.5,1.2,11.9,1.5,10.4,1.6,13.4,2.2,16.9,1.1,17.6,1.3,17.9,1.6,15.1,2.2,10.7,1.0,11.1,1.1,10.9,1.2,9.2,1.6,14.2,1.2,18.3,1.5,21.3,1.9,5.1,1.2,4.8,0.7,6.4,0.9,7.5,1.2,1.1,0.5,5.3,0.6,6.8,0.8,7.8,1.0,1.8,0.8,52168,1953,63294,1977,(X),(X),30177,2915,71111,2025,82772,2580,90919,3543,43729,2825,46.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),49.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),39.8,(X)
8600000US11230,11230,ZCTA5 11230,30653,430,20024,538,15122,513,10629,509,12.8,1.2,5.4,1.1,3.4,1.1,27.7,2.7,7.9,0.9,6.2,1.0,6.7,1.3,11.6,2.0,13.3,1.1,12.4,1.2,10.9,1.4,15.3,1.9,10.2,1.0,11.6,1.3,10.8,1.4,8.6,1.5,12.3,1.1,12.6,1.2,12.4,1.4,11.1,1.8,14.8,1.2,15.7,1.5,14.9,1.7,12.6,1.9,9.4,1.0,10.9,1.4,11.3,1.7,6.6,1.2,9.3,0.9,11.9,1.2,13.4,1.5,3.8,0.9,4.7,0.6,6.2,0.9,7.4,1.1,1.3,0.6,5.3,0.6,7.1,0.8,8.8,1.0,1.6,0.8,41068,1954,53114,2708,(X),(X),21288,1443,66632,2753,79587,3516,88467,4490,39757,3858,39.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),42.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),32.1,(X)
8600000US11231,11231,ZCTA5 11231,15265,359,8507,454,5930,434,6758,442,11.4,1.7,7.0,2.1,1.9,1.3,17.6,3.4,3.9,1.1,3.7,1.5,2.6,1.4,4.4,1.6,7.3,1.6,7.8,2.5,3.4,1.7,6.7,2.0,5.2,1.2,4.7,1.6,4.0,1.5,5.8,1.8,6.2,1.2,6.7,1.9,3.8,1.7,6.9,2.0,12.0,1.8,9.8,2.6,8.4,2.9,14.3,2.8,9.9,1.6,8.3,2.2,8.5,2.3,11.7,2.3,15.7,1.7,14.9,2.3,18.1,3.2,15.8,3.5,10.4,1.9,12.1,2.5,16.2,3.2,8.0,2.8,17.9,1.9,25.0,2.7,33.1,4.0,8.8,2.6,83310,5416,104263,10555,(X),(X),65533,7657,128453,8311,161370,14711,N,N,83877,7770,28.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),28.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),28.4,(X)
8600000US11232,11232,ZCTA5 11232,8784,294,5982,349,3584,299,2802,287,8.4,1.7,6.8,2.1,3.5,2.0,14.2,3.5,6.9,1.7,6.8,1.9,6.3,2.7,7.3,3.0,10.7,1.8,15.2,2.9,12.6,3.0,8.1,3.0,13.0,2.2,13.1,2.7,11.8,3.5,12.0,3.4,15.5,2.4,16.5,2.7,16.0,4.5,13.6,3.8,16.6,2.5,16.3,2.8,15.1,3.7,14.4,3.9,12.9,2.4,9.3,2.2,13.6,3.4,15.1,4.3,11.0,2.3,10.6,3.3,12.7,4.2,11.2,3.4,2.3,1.0,2.8,1.3,4.3,2.1,1.9,1.5,2.7,1.0,2.6,1.0,4.1,1.7,2.1,1.6,44474,3462,41875,4500,49764,7699,42204,5767,60019,4110,58462,5088,N,N,56598,5566,38.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),38.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),28.5,(X)
8600000US11233,11233,ZCTA5 11233,26987,433,16945,560,5311,413,10042,515,17.4,1.4,15.0,1.8,3.5,1.7,24.7,2.5,10.4,1.3,8.6,1.5,4.4,1.8,14.3,2.4,12.4,1.3,12.0,1.6,7.9,2.4,13.0,2.0,10.7,1.2,10.2,1.6,6.5,2.4,10.6,2.1,13.1,1.5,12.3,1.7,12.1,3.0,14.5,2.8,15.2,1.5,17.0,2.1,21.3,3.4,11.6,1.7,7.8,1.0,9.6,1.5,14.6,3.0,4.9,1.5,8.3,1.0,9.1,1.2,15.4,3.3,5.3,1.4,2.7,0.6,3.9,0.9,8.9,2.3,0.7,0.4,1.8,0.3,2.3,0.5,5.4,1.7,0.5,0.3,33745,2872,40201,2836,66476,6413,22988,3068,50071,2363,57186,3563,87550,7904,34117,2079,49.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),50.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),42.6,(X)
8600000US11234,11234,ZCTA5 11234,32185,439,24350,512,15698,530,7835,498,4.9,0.7,2.2,0.5,0.7,0.3,13.9,2.1,3.4,0.6,1.9,0.5,1.6,0.6,8.1,1.6,7.5,0.9,5.3,0.8,3.5,0.8,15.6,2.2,8.3,1.0,7.4,1.0,5.9,1.0,11.2,2.3,11.3,1.1,11.6,1.3,8.9,1.5,11.6,1.9,17.1,1.1,17.3,1.2,15.3,1.3,15.7,2.5,13.9,1.0,13.8,1.2,14.0,1.4,13.3,2.3,18.8,1.0,22.5,1.2,26.2,1.7,7.0,1.5,8.3,0.7,10.3,1.0,13.5,1.4,1.5,0.6,6.6,0.8,7.8,0.9,10.4,1.3,2.0,1.1,71115,1904,82422,2378,100117,2497,36748,4449,89848,2695,100192,3083,N,N,53241,5015,44.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),46.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),35.8,(X)
8600000US11235,11235,ZCTA5 11235,32065,467,19124,597,14625,546,12941,618,14.7,1.2,4.5,1.1,2.8,0.9,30.3,2.7,8.0,0.9,6.9,1.0,7.3,1.1,10.5,1.9,10.5,1.2,9.5,1.4,9.4,1.6,12.2,2.0,10.4,1.1,10.0,1.6,9.8,1.7,10.9,1.9,10.0,1.1,10.4,1.4,9.4,1.6,8.9,1.7,14.2,1.1,15.3,1.7,13.6,2.0,12.7,1.8,9.8,1.0,10.8,1.5,10.5,1.7,7.7,1.4,12.5,1.4,17.4,2.1,19.5,2.5,5.0,1.3,5.2,0.7,7.9,1.2,9.0,1.5,1.1,0.6,4.7,0.7,7.4,1.2,8.8,1.4,0.6,0.4,42818,2844,63364,3281,71305,4776,22960,1742,68373,3001,88514,4395,N,N,37190,2423,42.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),46.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),36.9,(X)
8600000US11236,11236,ZCTA5 11236,32442,400,24291,603,11931,462,8151,498,8.7,0.9,6.5,1.0,1.8,0.7,16.2,2.3,4.5,0.7,3.0,0.6,1.4,0.5,9.6,1.8,8.4,0.9,7.2,1.0,4.4,1.0,13.6,2.1,8.9,1.0,7.5,0.9,5.2,1.1,14.7,2.5,12.9,1.1,12.6,1.2,9.4,1.3,15.0,2.4,17.9,1.1,18.7,1.4,18.6,2.0,15.9,2.3,14.8,1.0,16.7,1.3,19.9,2.1,8.4,1.7,14.2,0.9,15.9,1.1,21.4,1.8,4.9,1.3,6.5,0.7,8.0,0.8,12.3,1.5,1.2,0.8,3.1,0.5,3.7,0.7,5.7,1.2,0.6,0.5,58705,1684,67152,2095,84463,3120,31849,1308,72543,1582,79793,2008,97980,2948,42946,2778,56.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),57.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),48.8,(X)
8600000US11237,11237,ZCTA5 11237,16582,363,10634,400,5042,404,5948,366,12.1,1.9,10.7,2.2,5.8,2.4,16.9,3.0,5.8,1.2,7.1,1.6,4.1,1.9,5.8,1.9,12.4,1.6,16.1,2.4,10.5,2.9,7.8,2.2,10.0,1.7,13.4,2.4,14.7,3.5,5.9,2.0,14.4,1.8,14.7,2.2,14.1,3.1,13.0,2.6,16.6,1.9,15.3,2.5,21.4,4.1,17.7,2.7,10.6,1.5,7.3,1.7,9.5,2.9,14.4,2.5,11.8,1.6,9.9,1.9,11.7,2.8,12.2,2.6,4.0,1.0,3.2,1.0,5.9,2.1,3.9,1.5,2.4,0.8,2.1,1.0,2.6,1.4,2.3,1.2,44950,2489,37248,3017,51150,6244,50456,4233,62004,3688,56150,4693,69625,7333,62974,4611,50.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),50.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),45.3,(X)
8600000US11238,11238,ZCTA5 11238,23310,526,9978,412,5766,440,13332,603,7.5,1.2,5.0,1.5,1.7,1.0,9.6,1.6,4.1,0.9,3.0,1.2,1.5,1.1,5.4,1.3,8.5,1.3,8.3,1.9,4.4,2.0,8.8,1.8,6.4,1.1,6.7,1.7,4.6,1.9,6.6,1.7,11.0,1.4,9.1,1.7,7.0,2.2,12.5,2.0,14.3,1.4,13.4,2.1,9.5,2.3,15.0,2.0,14.0,1.5,13.1,2.4,12.6,2.6,14.6,1.9,16.9,1.5,17.9,2.3,21.6,3.2,15.8,2.1,8.6,1.1,10.5,1.8,15.8,2.9,6.7,1.5,8.7,1.1,13.1,1.9,21.2,3.2,5.1,1.2,70873,4505,80630,3185,117289,9106,60614,3768,93918,3877,114813,8199,154224,13088,75899,3098,37.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),42.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),32.9,(X)
8600000US11239,11239,ZCTA5 11239,6362,141,3560,349,1159,214,2802,352,20.5,5.2,10.2,7.4,1.7,3.0,34.2,7.1,15.8,4.1,16.6,5.8,18.6,7.5,14.9,5.9,12.0,4.0,11.9,5.5,6.0,5.8,11.6,5.2,9.0,3.7,8.9,4.6,13.8,9.4,9.1,5.4,19.3,4.9,20.6,6.6,19.2,9.2,19.7,6.0,15.6,4.5,19.2,7.0,13.7,7.9,9.2,5.1,3.6,1.8,5.5,3.1,11.7,8.4,1.0,1.1,3.5,1.9,5.9,3.4,11.8,7.4,0.3,0.6,0.4,0.6,0.7,1.0,2.2,3.3,0.0,1.1,0.3,0.4,0.4,0.7,1.4,2.1,0.0,1.1,26186,5101,37414,10123,(X),(X),15783,6002,34840,3137,42309,5113,N,N,24987,3007,36.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),40.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.9,(X)
8600000US11351,11351,ZCTA5 11351,0,11,0,11,0,11,0,11,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,(X),(X),(X),(X),(X),(X),(X),(X),(X),-,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),-,(X)
8600000US11354,11354,ZCTA5 11354,20006,528,13947,636,9282,540,6059,543,10.0,1.6,6.3,1.6,4.3,1.6,18.6,3.8,6.3,1.4,6.1,1.7,4.6,1.4,7.4,2.2,13.4,2.1,12.7,2.4,11.8,2.6,14.5,3.6,11.6,1.7,11.8,2.1,12.0,2.4,12.5,3.5,13.3,2.0,14.4,2.3,13.2,2.7,12.4,3.7,16.2,2.0,17.3,2.5,17.9,2.9,14.7,3.2,12.1,2.1,12.9,2.0,13.9,2.7,9.4,3.8,9.8,1.4,10.6,1.7,12.2,2.3,5.3,1.8,3.6,1.0,3.9,1.1,4.4,1.4,3.1,2.0,3.8,0.9,4.1,1.0,5.6,1.4,2.0,1.3,44741,2713,48249,3776,(X),(X),31497,3899,62568,2987,65775,3147,N,N,48854,4355,45.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),48.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),37.4,(X)
8600000US11355,11355,ZCTA5 11355,27354,562,19481,621,14527,638,7873,492,11.7,1.3,6.5,1.2,5.2,1.3,25.8,3.8,6.4,1.1,5.2,1.2,5.0,1.4,9.6,2.5,14.6,1.7,15.8,1.9,16.3,2.2,12.2,2.8,12.4,1.4,15.4,2.0,16.3,2.5,7.2,1.8,14.8,1.6,16.2,1.9,16.6,2.3,10.8,2.8,16.0,1.5,16.2,2.0,16.1,2.4,15.9,3.0,9.2,1.1,8.6,1.2,8.3,1.4,9.2,2.5,9.1,1.0,9.7,1.2,9.8,1.5,4.9,1.3,3.7,0.8,3.9,0.7,4.0,1.0,3.0,1.8,2.1,0.6,2.3,0.7,2.4,0.8,1.4,1.0,39168,2903,40637,1894,40134,2473,28795,5980,54472,2191,57016,2259,N,N,43824,4136,46.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),48.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),37.3,(X)
8600000US11356,11356,ZCTA5 11356,7712,247,5939,333,4038,333,1773,239,5.8,1.9,3.6,1.8,3.1,2.2,13.0,4.7,3.3,1.4,2.9,1.8,2.7,2.1,6.6,3.8,9.7,2.5,9.1,3.0,7.6,3.0,12.4,5.5,8.3,2.2,8.9,2.6,9.8,3.1,7.8,4.0,15.6,2.9,15.1,3.4,12.8,3.3,19.2,7.1,18.5,3.0,19.0,3.7,19.0,4.2,14.0,4.5,16.5,3.2,15.6,3.6,18.1,4.5,16.9,6.6,12.6,2.4,14.7,2.9,14.1,3.1,5.2,3.4,5.4,1.6,6.7,2.1,8.2,3.0,1.2,2.0,4.3,1.7,4.5,1.9,4.5,1.7,3.6,4.0,57194,4701,62870,7791,68472,8687,41980,4471,75112,5929,79455,6558,N,N,56703,11947,43.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),45.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),33.5,(X)
8600000US11357,11357,ZCTA5 11357,14846,355,10703,506,8401,461,4143,377,3.5,1.1,1.5,0.6,1.0,0.7,8.6,3.3,2.9,0.8,1.4,0.7,1.3,0.7,6.8,2.1,8.3,1.5,6.1,1.7,4.4,1.4,14.6,3.5,8.3,1.6,6.9,2.0,6.3,2.2,11.2,2.9,9.2,1.7,8.4,1.7,8.1,1.9,11.9,3.8,18.6,2.3,18.8,2.7,19.2,3.1,18.5,4.2,14.4,1.9,15.6,2.5,14.6,2.7,12.2,3.5,19.0,2.6,21.9,3.1,22.8,3.7,10.2,3.8,9.4,1.8,11.2,2.3,12.8,2.7,4.0,2.0,6.4,1.4,8.1,1.8,9.4,2.1,2.0,1.7,73750,5498,84329,5258,89090,8581,45414,7206,91915,4626,102824,5384,N,N,62008,8501,33.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),36.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),25.6,(X)
8600000US11358,11358,ZCTA5 11358,13114,347,9697,324,7514,331,3417,320,5.1,1.1,3.6,1.2,2.7,1.2,9.9,3.0,4.1,1.2,3.8,1.4,2.9,1.3,5.5,2.1,8.9,1.4,5.7,1.1,4.7,1.2,17.5,3.6,7.2,1.3,7.6,1.6,6.2,1.6,6.1,1.9,12.0,1.5,11.5,1.7,12.2,2.0,15.2,3.2,19.6,2.0,19.3,2.4,18.4,2.5,19.5,3.5,13.0,1.8,13.3,1.9,13.5,2.2,12.1,4.3,14.9,1.6,16.6,1.9,18.3,2.2,9.0,2.8,7.7,1.1,8.9,1.4,10.1,1.6,4.1,2.0,7.5,1.2,9.7,1.6,11.1,1.9,1.1,1.0,65258,4130,72525,4384,80086,5482,44750,7301,83944,3177,93469,4069,N,N,54673,4052,45.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),46.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),40.7,(X)
8600000US11359,11359,ZCTA5 11359,0,11,0,11,0,11,0,11,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,(X),(X),(X),(X),(X),(X),(X),(X),(X),-,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),-,(X)
8600000US11360,11360,ZCTA5 11360,8567,271,5421,364,4236,378,3146,313,5.3,2.1,2.2,1.6,0.8,0.5,10.6,4.5,3.6,1.5,1.2,1.1,1.4,1.4,7.6,3.6,9.3,2.4,5.0,2.0,2.5,1.3,16.8,5.5,5.9,1.7,5.8,2.1,6.1,2.6,6.3,2.9,7.7,1.7,6.8,2.2,5.7,2.2,9.2,2.8,15.6,2.7,14.8,3.5,15.7,4.0,17.1,4.3,13.9,2.4,16.2,3.5,15.7,3.6,12.4,4.3,18.2,3.0,21.8,4.3,21.7,4.3,12.7,3.8,10.9,2.1,12.8,2.9,14.2,3.8,4.3,3.0,9.7,2.2,13.4,3.2,16.2,4.0,3.1,1.9,80235,7266,96299,8112,(X),(X),47500,8058,97078,6019,114326,8161,N,N,63555,8266,29.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),28.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),31.6,(X)
8600000US11361,11361,ZCTA5 11361,10606,208,7535,305,5929,297,3071,275,4.4,1.1,3.0,1.2,2.1,1.3,8.0,2.2,2.7,0.9,1.6,0.9,0.9,0.8,5.3,2.3,7.7,1.5,5.7,1.5,4.8,1.4,12.9,4.3,7.0,1.4,6.7,1.7,6.0,1.8,8.2,2.8,9.2,1.5,9.2,1.9,7.8,1.8,9.9,3.0,16.7,2.1,16.2,2.7,16.0,2.6,17.4,3.9,14.5,1.9,14.7,2.2,14.4,2.5,14.6,4.4,20.5,2.2,21.9,2.6,24.1,3.0,17.7,4.5,10.1,1.6,11.8,2.2,13.2,2.4,4.8,1.7,7.4,1.3,9.3,1.8,10.7,2.3,1.2,0.9,79158,5353,87278,7493,97271,5541,54696,8595,93310,3970,102467,4926,N,N,65714,5067,30.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),32.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),24.6,(X)
